Name,Price
AGRITECH,Final
JISLJALEQS,189.30
ZIMLAB,44.55
TBZ,94.25
PTC,99.55
HINDZINC,167.20
ABSLAMC,301.80
ARE&M,471.75
KANANIIND,783.15
TMB,3.90
KALYANIFRG,453.40
SRHHYPOLTD,435.70
SHAILY,482.25
WENDT,462.60
EXCEL,"11,157.15"
HCC,0.50
FEL,32.00
LAGNAM,0.70
PTL,107.50
KBCGLOBAL,38.05
IGARASHI,1.85
ECLERX,418.70
ALKYLAMINE,"2,334.30"
PREMIERPOL,"1,975.10"
VAKRANGEE,172.25
AJANTPHARM,19.45
HESTERBIO,"2,110.70"
DODLA,"1,305.30"
INDIACEM,819.55
FSC,196.05
EIHAHOTELS,8.90
SFL,639.90
SCPL,948.70
INDOTECH,339.95
TFL,847.70
COFFEEDAY,9.50
VLSFINANCE,50.60
AEROFLEX,232.30
GANESHBE,116.55
AETHER,169.90
HINDMOTORS,786.95
PRINCEPIPE,15.60
HONDAPOWER,530.20
ADSL,"2,216.55"
YESBANK,128.45
MURUDCERA,20.95
HERITGFOOD,43.35
DOMS,308.90
HIL,"1,405.70"
FINEORG,"2,686.30"
NH,"4,100.05"
MCDOWELL-N,"1,187.60"
HATSUN,"1,109.25"
ASIANPAINT,"1,103.00"
HGINFRA,"2,860.00"
KSL,875.90
GLS,856.00
PARAS,688.25
JSL,624.50
GNFC,618.70
UPL,598.00
PDSL,451.85
CHEMBOND,447.90
IGL,447.00
VSTTILLERS,407.50
EVEREADY,"3,025.05"
STERTOOLS,323.70
MCX,322.25
SESHAPAPER,"3,210.10"
ICIL,304.50
BASF,294.75
TNPL,"3,163.00"
RALLIS,250.20
DMART,240.60
FINPIPE,"3,966.95"
KIRLOSBROS,207.25
CASTROLIND,992.25
KARURVYSYA,191.50
IRBINVIT,170.15
APLAPOLLO,67.15
RAMCOCEM,"1,492.00"
LINC,790.00
RAILTEL,466.00
TAJGVK,308.15
SIS,303.90
SURYODAY,446.95
TATASTEEL,147.10
AHL,143.60
MUTHOOTFIN,277.00
PETRONET,"1,350.00"
JBCHEPHARM,263.65
VEDL,"1,550.95"
RUCHIRA,251.80
SBICARD,114.20
LALPATHLAB,685.00
RSYSTEMS,"2,011.00"
RBL,434.95
KPRMILL,652.00
LAOPALA,759.95
MANGCHEFER,302.75
BIKAJI,100.90
SUNTECK,502.95
RAMCOIND,399.70
SOMANYCERA,197.50
GATEWAY,570.50
YATHARTH,93.65
SILINV,374.00
NAHARSPING,462.00
AUROPHARMA,274.65
GOLDIAM,"1,005.00"
JIOFIN,167.40
SKFINDIA,328.00
